,WPSNR,NWPSNR
004.jpg,46.147,0.771
005.jpg,41.938,0.606
006.jpg,48.254,0.854
007.jpg,42.237,0.618
008.jpg,42.469,0.627
009.jpg,44.012,0.687
010.jpg,43.788,0.679
011.jpg,45.623,0.751
012.jpg,43.67,0.674
013.jpg,37.685,0.439
014.jpg,37.846,0.445
015.jpg,38.393,0.467
016.jpg,45.505,0.746
017.jpg,44.241,0.696
018.jpg,40.354,0.544
019.jpg,44.412,0.703
020.jpg,37.04,0.413
021.jpg,48.347,0.858
022.jpg,39.629,0.515
023.jpg,39.814,0.522
024.jpg,39.558,0.512
025.jpg,39.529,0.511
026.jpg,40.528,0.55
027.jpg,40.287,0.541
028.jpg,44.182,0.694
029.jpg,38.518,0.471
030.jpg,47.445,0.822
031.jpg,36.038,0.374
032.jpg,44.922,0.723
033.jpg,45.246,0.736
034.jpg,44.035,0.688
035.jpg,47.211,0.813
036.jpg,33.039,0.256
037.jpg,43.098,0.651
038.jpg,45.746,0.755
039.jpg,42.592,0.632
040.jpg,38.243,0.461
041.jpg,39.284,0.502
042.jpg,41.765,0.599
043.jpg,41.543,0.59
044.jpg,46.434,0.783
045.jpg,41.449,0.587
046.jpg,40.751,0.559
047.jpg,39.986,0.529
048.jpg,35.066,0.336
049.jpg,37.077,0.415
050.jpg,41.267,0.579
051.jpg,38.858,0.485
052.jpg,37.62,0.436
053.jpg,43.628,0.672
054.jpg,43.636,0.673
055.jpg,43.487,0.667
056.jpg,42.82,0.641
057.jpg,43.235,0.657
058.jpg,42.968,0.646
059.jpg,42.788,0.639
060.jpg,42.628,0.633
061.jpg,42.371,0.623
062.jpg,41.728,0.598
063.jpg,38.905,0.487
064.jpg,39.408,0.506
065.jpg,36.411,0.389
066.jpg,36.405,0.388
067.jpg,38.519,0.472
068.jpg,37.003,0.412
069.jpg,35.222,0.342
070.jpg,35.294,0.345
071.jpg,35.967,0.371
072.jpg,28.973,0.096
073.jpg,33.202,0.263
074.jpg,35.626,0.358
075.jpg,37.529,0.433
076.jpg,35.709,0.361
077.jpg,34.198,0.302
078.jpg,34.039,0.296
079.jpg,34.57,0.316
080.jpg,34.402,0.31
081.jpg,34.264,0.304
082.jpg,30.706,0.165
083.jpg,28.682,0.085
084.jpg,27.541,0.04
085.jpg,27.138,0.024
086.jpg,29.006,0.098
087.jpg,27.605,0.043
088.jpg,28.921,0.094
089.jpg,31.246,0.186
090.jpg,34.034,0.295
091.jpg,36.071,0.375
092.jpg,36.314,0.385
093.jpg,35.725,0.362
094.jpg,34.15,0.3
095.jpg,35.511,0.353
096.jpg,28.251,0.068
097.jpg,32.912,0.251
098.jpg,36.542,0.394
099.jpg,37.315,0.424
100.jpg,34.293,0.306
101.jpg,33.274,0.265
