,WPSNR,NWPSNR
0004.jpg,43.091,0.736
0005.jpg,44.624,0.791
0006.jpg,44.369,0.782
0007.jpg,45.363,0.817
0008.jpg,44.265,0.778
0009.jpg,44.048,0.77
0010.jpg,43.875,0.764
0011.jpg,43.92,0.765
0012.jpg,44.38,0.782
0013.jpg,43.714,0.758
0014.jpg,42.59,0.718
0015.jpg,41.532,0.68
0016.jpg,40.731,0.651
0017.jpg,40.558,0.645
0018.jpg,40.399,0.639
0019.jpg,40.484,0.642
0020.jpg,40.409,0.64
0021.jpg,40.441,0.641
0022.jpg,40.318,0.637
0023.jpg,40.231,0.633
0024.jpg,40.652,0.649
0025.jpg,40.714,0.651
0026.jpg,41.287,0.671
0027.jpg,41.727,0.687
0028.jpg,42.414,0.712
0029.jpg,42.363,0.71
0030.jpg,42.541,0.716
0031.jpg,45.386,0.818
0032.jpg,45.338,0.816
0033.jpg,42.374,0.71
0034.jpg,42.061,0.699
0035.jpg,41.922,0.694
0036.jpg,44.406,0.783
0037.jpg,42.014,0.697
0038.jpg,41.908,0.693
0039.jpg,41.357,0.674
0040.jpg,40.33,0.637
0041.jpg,40.024,0.626
0042.jpg,39.987,0.625
0043.jpg,40.195,0.632
0044.jpg,40.454,0.641
0045.jpg,40.48,0.642
0046.jpg,40.407,0.64
0047.jpg,40.188,0.632
0048.jpg,39.996,0.625
0049.jpg,39.468,0.606
0050.jpg,41.101,0.665
0051.jpg,40.46,0.642
0052.jpg,41.304,0.672
0053.jpg,41.423,0.676
0054.jpg,40.204,0.632
0055.jpg,40.894,0.657
0056.jpg,40.609,0.647
0057.jpg,40.265,0.635
0058.jpg,39.915,0.622
0059.jpg,40.12,0.629
0060.jpg,40.055,0.627
0061.jpg,40.39,0.639
0062.jpg,40.778,0.653
0063.jpg,40.257,0.634
0064.jpg,40.128,0.63
0065.jpg,39.904,0.622
0066.jpg,39.625,0.612
0067.jpg,39.397,0.604
0068.jpg,22.536,0.0
0069.jpg,39.319,0.601
0070.jpg,39.36,0.602
0071.jpg,39.136,0.594
0072.jpg,39.076,0.592
0073.jpg,39.808,0.618
0074.jpg,39.769,0.617
0075.jpg,39.939,0.623
0076.jpg,40.452,0.641
0077.jpg,40.416,0.64
0078.jpg,40.433,0.641
0079.jpg,40.615,0.647
0080.jpg,40.375,0.639
0081.jpg,40.33,0.637
0082.jpg,40.195,0.632
0083.jpg,39.99,0.625
0084.jpg,39.58,0.61
0085.jpg,40.617,0.647
0086.jpg,40.916,0.658
0087.jpg,41.144,0.666
0088.jpg,40.888,0.657
0089.jpg,43.5,0.75
0090.jpg,43.535,0.752
0091.jpg,43.613,0.755
0092.jpg,40.928,0.658
0093.jpg,41.016,0.662
0094.jpg,41.113,0.665
0095.jpg,41.032,0.662
0096.jpg,40.868,0.656
0097.jpg,42.964,0.731
0098.jpg,40.448,0.641
0099.jpg,40.184,0.632
0100.jpg,39.89,0.621
0101.jpg,39.595,0.611
0102.jpg,39.838,0.619
0103.jpg,40.132,0.63
0104.jpg,40.305,0.636
0105.jpg,40.553,0.645
0106.jpg,40.271,0.635
0107.jpg,42.306,0.708
0108.jpg,40.19,0.632
0109.jpg,40.241,0.634
0110.jpg,40.247,0.634
0111.jpg,40.05,0.627
0112.jpg,40.027,0.626
0113.jpg,39.977,0.624
0114.jpg,39.841,0.619
0115.jpg,39.747,0.616
0116.jpg,39.818,0.619
0117.jpg,40.006,0.625
0118.jpg,40.103,0.629
0119.jpg,40.585,0.646
0120.jpg,40.172,0.631
0121.jpg,40.435,0.641
0122.jpg,40.718,0.651
0123.jpg,40.994,0.661
0124.jpg,40.935,0.659
0125.jpg,42.132,0.701
0126.jpg,44.221,0.776
0127.jpg,46.504,0.858
0128.jpg,46.792,0.868
0129.jpg,48.834,0.941
0130.jpg,49.767,0.975
0131.jpg,49.793,0.976
0132.jpg,49.21,0.955
0133.jpg,49.241,0.956
0134.jpg,49.072,0.95
0135.jpg,49.563,0.967
0136.jpg,49.915,0.98
0137.jpg,50.037,0.984
0138.jpg,49.699,0.972
0139.jpg,49.759,0.975
0140.jpg,49.974,0.982
0141.jpg,50.408,0.998
0142.jpg,50.386,0.997
0143.jpg,50.394,0.997
0144.jpg,49.513,0.966
0145.jpg,44.607,0.79
0146.jpg,41.299,0.672
0147.jpg,37.763,0.545
0148.jpg,39.029,0.59
0149.jpg,37.384,0.532
0150.jpg,38.05,0.555
0151.jpg,39.358,0.602
0152.jpg,37.144,0.523
0153.jpg,39.472,0.606
0154.jpg,39.824,0.619
0155.jpg,40.483,0.642
0156.jpg,40.279,0.635
0157.jpg,40.695,0.65
0158.jpg,40.473,0.642
0159.jpg,39.488,0.607
0160.jpg,38.309,0.565
0161.jpg,38.042,0.555
0162.jpg,35.954,0.48
0163.jpg,36.758,0.509
0164.jpg,39.225,0.597
0165.jpg,37.377,0.531
0166.jpg,37.543,0.537
0167.jpg,40.734,0.651
0168.jpg,39.988,0.625
0169.jpg,40.665,0.649
0170.jpg,41.424,0.676
0171.jpg,42.247,0.706
0172.jpg,41.412,0.676
0173.jpg,41.578,0.682
0174.jpg,41.369,0.674
0175.jpg,41.714,0.687
0176.jpg,40.88,0.657
0177.jpg,41.763,0.688
0178.jpg,41.62,0.683
0179.jpg,40.71,0.651
0180.jpg,41.127,0.666
0181.jpg,40.334,0.637
0182.jpg,39.898,0.622
0183.jpg,39.699,0.614
0184.jpg,39.187,0.596
0185.jpg,39.14,0.594
0186.jpg,39.254,0.598
0187.jpg,39.606,0.611
0188.jpg,39.789,0.618
0189.jpg,39.766,0.617
0190.jpg,39.66,0.613
0191.jpg,39.797,0.618
0192.jpg,39.863,0.62
0193.jpg,39.947,0.623
0194.jpg,39.579,0.61
0195.jpg,39.266,0.599
0196.jpg,38.963,0.588
0197.jpg,38.703,0.579
0198.jpg,38.925,0.587
0199.jpg,38.954,0.588
0200.jpg,38.94,0.587
0201.jpg,38.633,0.576
0202.jpg,38.403,0.568
0203.jpg,38.116,0.558
0204.jpg,38.051,0.555
0205.jpg,38.021,0.554
0206.jpg,38.101,0.557
0207.jpg,38.29,0.564
0208.jpg,38.188,0.56
0209.jpg,38.12,0.558
0210.jpg,38.211,0.561
0211.jpg,38.283,0.564
0212.jpg,38.435,0.569
0213.jpg,38.734,0.58
0214.jpg,39.106,0.593
0215.jpg,39.113,0.593
0216.jpg,39.078,0.592
0217.jpg,38.754,0.581
0218.jpg,38.398,0.568
0219.jpg,38.129,0.558
0220.jpg,38.27,0.563
0221.jpg,38.263,0.563
0222.jpg,38.249,0.562
0223.jpg,38.07,0.556
0224.jpg,38.242,0.562
0225.jpg,38.407,0.568
0226.jpg,38.61,0.575
0227.jpg,38.737,0.58
0228.jpg,38.882,0.585
0229.jpg,39.186,0.596
0230.jpg,39.191,0.596
0231.jpg,39.258,0.599
0232.jpg,39.262,0.599
0233.jpg,39.688,0.614
0234.jpg,39.853,0.62
0235.jpg,41.136,0.666
0236.jpg,42.786,0.725
0237.jpg,44.834,0.798
0238.jpg,47.177,0.882
0239.jpg,50.164,0.989
0240.jpg,49.761,0.975
0241.jpg,50.47,1.0
0242.jpg,50.208,0.991
0243.jpg,50.402,0.998
0244.jpg,50.277,0.993
0245.jpg,50.471,1.0
0246.jpg,50.412,0.998
0247.jpg,49.908,0.98
0248.jpg,50.091,0.986
0249.jpg,50.048,0.985
0250.jpg,50.0,0.983
0251.jpg,49.989,0.983
0252.jpg,49.223,0.955
0253.jpg,50.25,0.992
0254.jpg,50.173,0.989
0255.jpg,46.476,0.857
0256.jpg,44.062,0.771
0257.jpg,42.334,0.709
0258.jpg,39.201,0.597
0259.jpg,35.052,0.448
0260.jpg,39.398,0.604
0261.jpg,38.78,0.581
0262.jpg,37.211,0.525
0263.jpg,36.805,0.511
0264.jpg,38.56,0.574
0265.jpg,38.577,0.574
0266.jpg,38.659,0.577
0267.jpg,38.509,0.572
0268.jpg,37.058,0.52
0269.jpg,37.44,0.534
0270.jpg,37.502,0.536
0271.jpg,37.772,0.545
0272.jpg,37.813,0.547
0273.jpg,37.678,0.542
0274.jpg,37.613,0.54
0275.jpg,37.513,0.536
0276.jpg,37.323,0.529
0277.jpg,37.683,0.542
0278.jpg,37.904,0.55
0279.jpg,38.01,0.554
0280.jpg,38.006,0.554
0281.jpg,38.056,0.556
0282.jpg,38.089,0.557
0283.jpg,37.879,0.549
0284.jpg,37.952,0.552
0285.jpg,38.131,0.558
0286.jpg,38.189,0.56
0287.jpg,38.266,0.563
0288.jpg,38.244,0.562
0289.jpg,38.309,0.565
0290.jpg,38.603,0.575
0291.jpg,38.595,0.575
0292.jpg,38.934,0.587
0293.jpg,38.107,0.557
0294.jpg,38.113,0.558
0295.jpg,37.874,0.549
0296.jpg,37.576,0.538
0297.jpg,38.101,0.557
0298.jpg,37.936,0.551
0299.jpg,37.558,0.538
0300.jpg,37.726,0.544
0301.jpg,36.844,0.512
0302.jpg,35.646,0.469
0303.jpg,35.171,0.452
0304.jpg,32.406,0.353
0305.jpg,35.306,0.457
0306.jpg,34.769,0.438
0307.jpg,37.648,0.541
0308.jpg,38.316,0.565
0309.jpg,42.464,0.713
0310.jpg,49.429,0.963
0311.jpg,49.25,0.956
0312.jpg,48.71,0.937
0313.jpg,49.671,0.971
0314.jpg,49.491,0.965
0315.jpg,49.737,0.974
0316.jpg,49.655,0.971
0317.jpg,49.043,0.949
0318.jpg,49.135,0.952
0319.jpg,49.448,0.963
0320.jpg,49.419,0.962
0321.jpg,49.389,0.961
0322.jpg,45.653,0.828
0323.jpg,43.348,0.745
0324.jpg,43.494,0.75
0325.jpg,43.19,0.739
0326.jpg,43.491,0.75
0327.jpg,45.961,0.839
0328.jpg,49.657,0.971
0329.jpg,49.609,0.969
0330.jpg,49.419,0.962
0331.jpg,50.017,0.984
0332.jpg,48.406,0.926
0333.jpg,49.52,0.966
0334.jpg,49.425,0.963
0335.jpg,49.963,0.982
0336.jpg,48.819,0.941
0337.jpg,49.363,0.96
0338.jpg,49.77,0.975
0339.jpg,47.112,0.88
0340.jpg,40.14,0.63
0341.jpg,40.721,0.651
0342.jpg,40.689,0.65
0343.jpg,40.676,0.649
0344.jpg,39.171,0.595
0345.jpg,38.277,0.563
0346.jpg,37.316,0.529
0347.jpg,37.779,0.546
0348.jpg,41.62,0.683
0349.jpg,39.329,0.601
0350.jpg,39.125,0.594
0351.jpg,38.657,0.577
0352.jpg,38.839,0.584
0353.jpg,37.028,0.519
0354.jpg,40.821,0.655
0355.jpg,35.663,0.47
0356.jpg,37.873,0.549
0357.jpg,36.507,0.5
0358.jpg,39.072,0.592
0359.jpg,38.913,0.586
0360.jpg,38.959,0.588
0361.jpg,39.217,0.597
0362.jpg,39.67,0.613
0363.jpg,39.873,0.621
0364.jpg,39.751,0.616
0365.jpg,39.941,0.623
0366.jpg,39.268,0.599
0367.jpg,39.118,0.594
0368.jpg,38.92,0.587
0369.jpg,39.065,0.592
0370.jpg,38.702,0.579
0371.jpg,38.09,0.557
0372.jpg,37.842,0.548
0373.jpg,37.607,0.54
0374.jpg,37.77,0.545
0375.jpg,36.81,0.511
0376.jpg,36.685,0.506
0377.jpg,36.494,0.5
0378.jpg,36.634,0.505
0379.jpg,36.822,0.511
0380.jpg,37.026,0.519
0381.jpg,36.878,0.513
0382.jpg,36.607,0.504
0383.jpg,36.323,0.494
0384.jpg,36.501,0.5
0385.jpg,36.562,0.502
0386.jpg,36.393,0.496
0387.jpg,36.301,0.493
0388.jpg,36.242,0.491
0389.jpg,36.424,0.497
0390.jpg,36.563,0.502
0391.jpg,36.557,0.502
0392.jpg,36.707,0.507
0393.jpg,36.935,0.515
0394.jpg,36.937,0.516
0395.jpg,36.531,0.501
0396.jpg,36.984,0.517
0397.jpg,36.634,0.505
0398.jpg,37.201,0.525
0399.jpg,37.11,0.522
0400.jpg,36.873,0.513
0401.jpg,36.766,0.509
0402.jpg,37.004,0.518
0403.jpg,37.142,0.523
0404.jpg,37.023,0.519
0405.jpg,37.245,0.527
0406.jpg,37.147,0.523
0407.jpg,37.316,0.529
0408.jpg,36.869,0.513
0409.jpg,37.576,0.538
0410.jpg,38.414,0.568
0411.jpg,40.531,0.644
0412.jpg,40.661,0.649
0413.jpg,42.704,0.722
0414.jpg,45.068,0.807
0415.jpg,46.795,0.868
0416.jpg,48.526,0.93
0417.jpg,49.079,0.95
0418.jpg,48.632,0.934
0419.jpg,48.484,0.929
0420.jpg,47.964,0.91
0421.jpg,48.599,0.933
0422.jpg,48.138,0.916
0423.jpg,48.614,0.934
0424.jpg,49.226,0.955
0425.jpg,49.356,0.96
0426.jpg,49.114,0.951
0427.jpg,46.955,0.874
0428.jpg,44.501,0.786
0429.jpg,41.09,0.664
0430.jpg,38.952,0.588
0431.jpg,42.549,0.716
0432.jpg,43.868,0.764
0433.jpg,42.194,0.704
0434.jpg,47.448,0.892
0435.jpg,48.811,0.941
0436.jpg,47.782,0.904
0437.jpg,48.205,0.919
0438.jpg,48.103,0.915
0439.jpg,48.881,0.943
0440.jpg,48.484,0.929
0441.jpg,48.215,0.919
0442.jpg,47.764,0.903
0443.jpg,48.644,0.935
0444.jpg,47.928,0.909
0445.jpg,42.23,0.705
0446.jpg,39.919,0.622
0447.jpg,40.343,0.637
0448.jpg,37.721,0.544
0449.jpg,36.862,0.513
0450.jpg,36.651,0.505
0451.jpg,34.692,0.435
0452.jpg,39.69,0.614
0453.jpg,36.101,0.486
0454.jpg,39.909,0.622
0455.jpg,38.969,0.588
0456.jpg,37.326,0.529
0457.jpg,37.154,0.523
0458.jpg,36.853,0.513
0459.jpg,36.588,0.503
0460.jpg,36.312,0.493
0461.jpg,33.755,0.402
0462.jpg,33.691,0.399
0463.jpg,33.706,0.4
0464.jpg,34.162,0.416
0465.jpg,37.151,0.523
0466.jpg,36.192,0.489
0467.jpg,35.593,0.467
0468.jpg,35.602,0.468
0469.jpg,36.124,0.486
0470.jpg,37.793,0.546
0471.jpg,38.773,0.581
0472.jpg,41.407,0.676
0473.jpg,43.683,0.757
0474.jpg,47.275,0.886
0475.jpg,48.305,0.922
0476.jpg,48.491,0.929
0477.jpg,48.529,0.93
0478.jpg,48.381,0.925
0479.jpg,48.384,0.925
0480.jpg,47.98,0.911
0481.jpg,48.667,0.935
0482.jpg,49.052,0.949
0483.jpg,48.781,0.94
0484.jpg,48.972,0.946
0485.jpg,49.129,0.952
0486.jpg,48.914,0.944
0487.jpg,49.303,0.958
0488.jpg,43.582,0.753
0489.jpg,40.642,0.648
